ADCRef50v,Battery-1,Battery-2,Battery-3,Battery-4,CRC8
4.54,4.36,12.44,0.01,0.01,13
4.53,4.37,12.42,0.01,0.01,32
4.54,4.36,12.44,0.01,0.01,13
4.54,4.37,12.44,0.01,0.01,34
4.54,4.37,12.44,0.01,0.01,34
4.54,4.36,12.44,0.01,0.01,13
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.42,0.01,0.01,32
4.54,4.37,12.42,0.01,0.01,238
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.41,0.01,0.01,70
4.54,4.36,12.44,0.01,0.01,13
4.53,4.35,12.42,0.01,0.01,126
4.53,4.35,12.42,0.01,0.01,126
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.37,12.42,0.01,0.01,238
4.53,4.37,12.42,0.01,0.01,32
4.54,4.36,12.42,0.01,0.01,193
4.54,4.37,12.42,0.01,0.01,238
4.54,4.37,12.42,0.01,0.01,238
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.44,0.01,0.01,13
4.54,4.37,12.42,0.01,0.01,238
4.54,4.36,12.42,0.01,0.01,193
4.54,4.37,12.42,0.01,0.01,238
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.41,0.01,0.01,167
4.54,4.37,12.42,0.01,0.01,238
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.43,0.01,0.01,20
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
4.54,4.36,12.41,0.01,0.01,167
